"","Day","moduleColor","ontology","GO_term","GO_ID","Transcript_ID","Protein_name"
"36","Day0","black","BP","plasma membrane organization","GO:0007009","LOC111110761"," caveolin-1-like"
"37","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111099873"," 28S ribosomal protein S35, mitochondrial-like"
"38","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111114067"," 40S ribosomal protein S11-like"
"39","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111120557"," 40S ribosomal protein S14"
"40","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111127638"," 40S ribosomal protein S16"
"41","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111136522"," 40S ribosomal protein S16-like"
"42","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111126883"," 40S ribosomal protein S19-like"
"43","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111121088"," 40S ribosomal protein S21-like"
"44","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111114778"," 40S ribosomal protein S27-like"
"45","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111130771"," 40S ribosomal protein S6-like"
"46","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111118126"," 40S ribosomal protein S9"
"47","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111106322"," 60S ribosomal protein L18a-like"
"48","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111136425"," 60S ribosomal protein L26-like"
"49","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111130646"," 60S ribosomal protein L36-like"
"50","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111115132"," 60S ribosomal protein L37a"
"51","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111125367"," 60S ribosomal protein L7a-like"
"52","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111119458"," transducin beta-like protein 3"
"53","Day0","black","BP","ribosome biogenesis","GO:0042254","LOC111128317"," ubiquitin-like protein FUBI"
"55","Day0","black","BP","translation","GO:0006412","LOC111099873"," 28S ribosomal protein S35, mitochondrial-like"
"56","Day0","black","BP","translation","GO:0006412","LOC111114067"," 40S ribosomal protein S11-like"
"57","Day0","black","BP","translation","GO:0006412","LOC111120557"," 40S ribosomal protein S14"
"58","Day0","black","BP","translation","GO:0006412","LOC111127638"," 40S ribosomal protein S16"
"59","Day0","black","BP","translation","GO:0006412","LOC111136522"," 40S ribosomal protein S16-like"
"60","Day0","black","BP","translation","GO:0006412","LOC111126883"," 40S ribosomal protein S19-like"
"61","Day0","black","BP","translation","GO:0006412","LOC111121088"," 40S ribosomal protein S21-like"
"62","Day0","black","BP","translation","GO:0006412","LOC111114778"," 40S ribosomal protein S27-like"
"63","Day0","black","BP","translation","GO:0006412","LOC111130771"," 40S ribosomal protein S6-like"
"64","Day0","black","BP","translation","GO:0006412","LOC111118126"," 40S ribosomal protein S9"
"65","Day0","black","BP","translation","GO:0006412","LOC111106322"," 60S ribosomal protein L18a-like"
"66","Day0","black","BP","translation","GO:0006412","LOC111136425"," 60S ribosomal protein L26-like"
"67","Day0","black","BP","translation","GO:0006412","LOC111130646"," 60S ribosomal protein L36-like"
"68","Day0","black","BP","translation","GO:0006412","LOC111115132"," 60S ribosomal protein L37a"
"69","Day0","black","BP","translation","GO:0006412","LOC111128317"," ubiquitin-like protein FUBI"
"71","Day0","black","MF","GTPase activity","GO:0003924","LOC111130659"," cdc42 homolog"
"72","Day0","black","MF","GTPase activity","GO:0003924","LOC111101291"," dnaJ homolog subfamily C member 27-like"
"73","Day0","black","MF","GTPase activity","GO:0003924","LOC111131699"," elongation factor 2-like"
"74","Day0","black","MF","GTPase activity","GO:0003924","LOC111113034"," ras-related protein Rab-8A-like"
"78","Day0","black","MF","GTPase activity","GO:0003924","LOC111101027"," ras-related protein Rab6"
"82","Day0","black","MF","GTPase activity","GO:0003924","LOC111124311"," uncharacterized"
"83","Day0","black","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810","LOC111135359"," allantoinase, mitochondrial-like"
"88","Day0","black","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810","LOC111130123"," double-stranded RNA-specific adenosine deaminase-like"
"90","Day0","black","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810","LOC111099755"," peptidoglycan-recognition protein SC2-like"
"91","Day0","black","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810","LOC111100578"," uncharacterized"
"92","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111120051"," 17-beta-hydroxysteroid dehydrogenase 14-like"
"93","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111130781"," ERO1-like protein beta"
"95","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111119079"," L-threonine 3-dehydrogenase-like"
"96","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111126316"," NADH-ubiquinone oxidoreductase 49 kDa subunit-like"
"97","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111112035"," NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like"
"98","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111134997"," aldehyde dehydrogenase family 3 member B1-like"
"101","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111133483"," carbonyl reductase [NADPH] 1-like"
"102","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111122683"," cytochrome P450 2J2-like"
"104","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111137681"," cytochrome P450 4A25-like"
"105","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111136538"," glutathione S-transferase kappa 1-like"
"106","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111118934"," octopine dehydrogenase-like"
"107","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111134065"," peptide methionine sulfoxide reductase-like"
"108","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111119019"," peroxidasin-like"
"111","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111107606"," peroxisomal sarcosine oxidase-like"
"113","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111111197"," polyenoic fatty acid isomerase-like"
"114","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111130627"," probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"
"115","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111137688"," succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like"
"116","Day0","black","MF","oxidoreductase activity","GO:0016491","LOC111124300"," uncharacterized"
"117","Day0","black","MF","peptidase activity","GO:0008233","LOC111122128"," U4/U6.U5 tri-snRNP-associated protein 2-like"
"118","Day0","black","MF","peptidase activity","GO:0008233","LOC111137716"," carboxypeptidase B-like"
"120","Day0","black","MF","peptidase activity","GO:0008233","LOC111113025"," cathepsin L1-like"
"122","Day0","black","MF","peptidase activity","GO:0008233","LOC111134083"," cyanophycinase-like"
"123","Day0","black","MF","peptidase activity","GO:0008233","LOC111125730"," furin-like protease kpc-1"
"124","Day0","black","MF","peptidase activity","GO:0008233","LOC111129831"," leishmanolysin-like peptidase"
"126","Day0","black","MF","peptidase activity","GO:0008233","LOC111134505"," matrix metalloproteinase-2-like"
"127","Day0","black","MF","peptidase activity","GO:0008233","LOC111121703"," meprin A subunit beta-like"
"128","Day0","black","MF","peptidase activity","GO:0008233","LOC111103962"," ubiquitin carboxyl-terminal hydrolase 16-like"
"130","Day0","black","MF","peptidase activity","GO:0008233","LOC111122170"," uncharacterized"
"131","Day0","black","MF","peptidase activity","GO:0008233","LOC111102878"," uncharacterized"
"143","Day0","black","MF","peptidase activity","GO:0008233","LOC111103879"," xaa-Pro aminopeptidase 1-like"
"145","Day0","black","MF","peptidase activity","GO:0008233","LOC111118165"," zinc metalloproteinase nas-6-like"
"146","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111099873"," 28S ribosomal protein S35, mitochondrial-like"
"147","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111114067"," 40S ribosomal protein S11-like"
"148","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111120557"," 40S ribosomal protein S14"
"149","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111127638"," 40S ribosomal protein S16"
"150","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111136522"," 40S ribosomal protein S16-like"
"151","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111126883"," 40S ribosomal protein S19-like"
"152","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111121088"," 40S ribosomal protein S21-like"
"153","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111114778"," 40S ribosomal protein S27-like"
"154","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111130771"," 40S ribosomal protein S6-like"
"155","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111118126"," 40S ribosomal protein S9"
"156","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111106322"," 60S ribosomal protein L18a-like"
"157","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111136425"," 60S ribosomal protein L26-like"
"158","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111130646"," 60S ribosomal protein L36-like"
"159","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111115132"," 60S ribosomal protein L37a"
"160","Day0","black","MF","structural constituent of ribosome","GO:0003735","LOC111128317"," ubiquitin-like protein FUBI"
"162","Day0","blue","BP","aging","GO:0007568","LOC111137403"," apolipoprotein D-like"
"163","Day0","blue","BP","aging","GO:0007568","LOC111134325"," apolipoprotein D-like"
"164","Day0","blue","BP","aging","GO:0007568","LOC111137402"," apolipoprotein D-like"
"165","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111125333"," calmodulin-regulated spectrin-associated protein 1-like"
"166","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111100522"," catenin alpha-2-like"
"172","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111132884"," chordin-like"
"173","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111128734"," delta-like protein 1"
"181","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111122423"," eyes absent homolog 2-like"
"182","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111126518"," low-density lipoprotein receptor-related protein 4-like"
"184","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111111281"," neurogenic differentiation factor 1-like"
"186","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111100613"," ninjurin-1-like"
"189","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111119687"," pro-neuregulin-1, membrane-bound isoform-like"
"192","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111125198"," protein Shroom3-like"
"193","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111127135"," protein Wnt-1-like"
"195","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111126881"," protein Wnt-10b-like"
"198","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111106516"," protein Wnt-2b-A-like"
"201","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111108394"," protein Wnt-5b-like"
"203","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111115598"," protein Wnt-5b-like"
"206","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111126651"," protein Wnt-9a-like"
"207","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111124715"," protein inturned-like"
"208","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111126123"," protein inturned-like"
"211","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111125649"," protein sprouty homolog 2-like"
"213","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111099111"," refilin-B-like"
"214","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111113296"," reversion-inducing cysteine-rich protein with Kazal motifs-like"
"215","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111122725"," sodium channel and clathrin linker 1-like"
"216","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111134017"," sonic hedgehog protein-like"
"218","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111129188"," sprouty-related, EVH1 domain-containing protein 2-like"
"220","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111107306"," transcription factor GATA-3-like"
"221","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111112296"," trichohyalin-like"
"222","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111106830"," trichohyalin-like"
"243","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111111665"," uncharacterized"
"244","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111137118"," uncharacterized"
"245","Day0","blue","BP","anatomical structure development","GO:0048856","LOC111123011"," zinc finger protein 271-like"
"246","Day0","blue","BP","autophagy","GO:0006914","LOC111118945"," RB1-inducible coiled-coil protein 1-like"
"248","Day0","blue","BP","autophagy","GO:0006914","LOC111119147"," WD repeat domain phosphoinositide-interacting protein 2-like"
"251","Day0","blue","BP","autophagy","GO:0006914","LOC111119828"," WD repeat domain phosphoinositide-interacting protein 4-like"
"253","Day0","blue","BP","autophagy","GO:0006914","LOC111102871"," autophagy protein 5-like"
"254","Day0","blue","BP","autophagy","GO:0006914","LOC111122717"," autophagy-related protein 101-like"
"255","Day0","blue","BP","autophagy","GO:0006914","LOC111123262"," autophagy-related protein 13-like"
"256","Day0","blue","BP","autophagy","GO:0006914","LOC111128047"," autophagy-related protein 2 homolog B-like"
"257","Day0","blue","BP","autophagy","GO:0006914","LOC111128059"," autophagy-related protein 2 homolog B-like"
"258","Day0","blue","BP","autophagy","GO:0006914","LOC111127325"," beclin-1-like"
"259","Day0","blue","BP","autophagy","GO:0006914","LOC111138066"," cysteine protease ATG4B-like"
"260","Day0","blue","BP","autophagy","GO:0006914","LOC111107335"," ectopic P granules protein 5 homolog"
"261","Day0","blue","BP","autophagy","GO:0006914","LOC111131691"," microtubule-associated proteins 1A/1B light chain 3C-like"
"262","Day0","blue","BP","autophagy","GO:0006914","LOC111124616"," next to BRCA1 gene 1 protein-like"
"265","Day0","blue","BP","autophagy","GO:0006914","LOC111118748"," rootletin-like"
"266","Day0","blue","BP","autophagy","GO:0006914","LOC111106048"," ubiquitin-like modifier-activating enzyme ATG7"
"267","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111137023"," 3 beta-hydroxysteroid dehydrogenase/Delta 5--_4-isomerase type 4-like"
"269","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111128407"," 3-hydroxybutyryl-CoA dehydrogenase-like"
"270","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111118131"," 5'(3')-deoxyribonucleotidase, cytosolic type-like"
"271","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111103508"," ALX homeobox protein 1-like"
"272","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111123024"," AMP deaminase 2-like"
"273","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111103123"," AT-rich interactive domain-containing protein 2-like"
"275","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111099426"," AT-rich interactive domain-containing protein 5B-like"
"278","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111126146"," B-cell CLL/lymphoma 9 protein-like"
"279","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111136248"," BRCA2-interacting transcriptional repressor EMSY-like"
"280","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111136304"," CCAAT/enhancer-binding protein beta-like"
"281","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111136305"," CCAAT/enhancer-binding protein gamma-like"
"282","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111122313"," CCR4-NOT transcription complex subunit 3-like"
"284","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111138290"," CDP-diacylglycerol--inositol 3-phosphatidyltransferase-like"
"285","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111123211"," CREB-binding protein-like"
"286","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111128384"," CREB-regulated transcription coactivator 3-like"
"287","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111125572"," CTD small phosphatase-like protein"
"288","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111102665"," D site-binding protein-like"
"292","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111111318"," D-3-phosphoglycerate dehydrogenase-like"
"293","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111135541"," D-glucuronyl C5-epimerase-like"
"301","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111103398"," DNA helicase B-like"
"303","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111105459"," DNA helicase B-like"
"304","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111138126"," DNA ligase 3-like"
"305","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111121647"," DNA ligase 4-like"
"306","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111130580"," DNA repair protein REV1-like"
"308","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111135181"," DNA-binding protein Ikaros-like"
"311","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111106496"," DNA-binding protein P3A2-like"
"314","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111119625"," DNA-binding protein RFX2-like"
"315","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111121541"," DNA-binding protein inhibitor ID-2-A-like"
"316","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111102132"," DNA-directed RNA polymerase II subunit RPB1-like"
"317","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111133143"," DNA-directed RNA polymerase II subunit RPB3-like"
"318","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111138141"," E3 ubiquitin-protein ligase MIB2-like"
"319","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111108274"," ETS domain-containing protein Elk-3-like"
"323","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111100684"," ETS homologous factor-like"
"325","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111119734"," ETS translocation variant 1-like"
"326","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111126911"," ETS translocation variant 5-like"
"327","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111122589"," ETV5-related protein Ets96B-like"
"329","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111126083"," GA-binding protein alpha chain-like"
"331","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111134455"," GMP synthase [glutamine-hydrolyzing]-like"
"332","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111119818"," GPI mannosyltransferase 2-like"
"333","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111131089"," H2.0-like homeobox protein"
"334","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111126347"," LIM homeobox transcription factor 1-beta-like"
"335","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111123142"," LIM/homeobox protein Lhx3-like"
"336","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111125807"," MBT domain-containing protein 1-like"
"337","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111135140"," MDS1 and EVI1 complex locus protein EVI1-like"
"341","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111136917"," NF-kappa-B-activating protein-like"
"344","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111122214"," NFX1-type zinc finger-containing protein 1-like"
"346","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111135381"," NGFI-A-binding protein homolog"
"352","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111103989"," PAX3- and PAX7-binding protein 1-like"
"354","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111108352"," PHD finger protein 3-like"
"355","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111127122"," POU domain, class 2, transcription factor 3-like"
"356","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111137811"," PR domain zinc finger protein 16-like"
"359","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111108354"," RING1 and YY1-binding protein-like"
"360","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111137415"," RNA polymerase II subunit A C-terminal domain phosphatase-like"
"361","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111134318"," T-box transcription factor TBX2-B-like"
"362","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111134319"," T-box transcription factor TBX2-like"
"367","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111123699"," T-box transcription factor TBX20-like"
"369","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111103117"," T-box transcription factor TBX22-like"
"370","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111137664"," T-box transcription factor TBX5-like"
"371","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111130101"," TATA-box-binding protein-like"
"372","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111130932"," TIMELESS-interacting protein-like"
"374","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111128592"," TNF receptor-associated factor 3-like"
"375","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111127917"," TNF receptor-associated factor 3-like"
"379","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111119565"," UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1-like"
"382","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111123056"," UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like"
"385","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111119960"," activating transcription factor of chaperone-like"
"386","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111131673"," adenosine deaminase-like"
"387","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111134509"," adenylate cyclase type 2-like"
"393","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111129320"," adipocyte plasma membrane-associated protein-like"
"395","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111120027"," alpha-(1,3)-fucosyltransferase 10-like"
"399","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111121100"," alpha-1,3/1,6-mannosyltransferase ALG2-like"
"401","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111134828"," alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like"
"406","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111124498"," alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A-like"
"407","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111135789"," arginine-glutamic acid dipeptide repeats protein-like"
"413","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111135773"," argininosuccinate lyase-like"
"415","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111105882"," argininosuccinate synthase-like"
"419","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111121321"," asparagine synthetase domain-containing protein 1-like"
"423","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111138386"," atrial natriuretic peptide receptor 1-like"
"424","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111120441"," atrial natriuretic peptide receptor 1-like"
"427","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111120351"," atrial natriuretic peptide receptor 1-like"
"428","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111108278"," atrial natriuretic peptide receptor 1-like"
"429","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111120350"," atrial natriuretic peptide receptor 1-like"
"430","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111132868"," atrial natriuretic peptide receptor 1-like"
"431","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111138415"," atrial natriuretic peptide receptor 2-like"
"432","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111130924"," basic leucine zipper transcriptional factor ATF-like 3"
"433","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111125669"," beta-1,3-galactosyltransferase 1-like"
"434","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111125081"," beta-1,3-galactosyltransferase 1-like"
"436","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111137158"," beta-1,3-galactosyltransferase 1-like"
"437","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111128382"," beta-1,3-galactosyltransferase 1-like"
"438","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111119758"," beta-1,3-galactosyltransferase 1-like"
"439","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111125242"," beta-1,3-galactosyltransferase 1-like"
"447","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111120503"," beta-1,3-galactosyltransferase 5-like"
"448","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111123486"," beta-1,3-galactosyltransferase 5-like"
"452","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111117570"," beta-1,3-galactosyltransferase 5-like"
"462","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111118220"," beta-1,3-galactosyltransferase brn-like"
"463","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111109970"," betaine--homocysteine S-methyltransferase 1-like"
"464","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111105474"," brachyury protein-like"
"465","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111110658"," branched-chain-amino-acid aminotransferase, cytosolic-like"
"466","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111100046"," carbohydrate sulfotransferase 8-like"
"467","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111099557"," choline/ethanolamine kinase-like"
"469","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111125237"," circadian locomoter output cycles protein kaput-like"
"471","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111136602"," core-binding factor subunit beta-like"
"474","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111110978"," corepressor interacting with RBPJ 1-like"
"475","Day0","blue","BP","biosynthetic process","GO:0009058","LOC111111360"," corepressor interacting with RBPJ 1-like"
