,Day,moduleColor,ontology,GO_term,GO_ID,Transcript_ID,Protein_name
202,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111131269, xanthine dehydrogenase/oxidase-like
204,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111100810, zinc finger protein Gfi-1b-like
205,Day1,black,BP,growth,GO:0040007,LOC111119586, band 4.1-like protein 2
213,Day1,black,BP,growth,GO:0040007,LOC111121860, bone morphogenetic protein 5-like
214,Day1,black,BP,growth,GO:0040007,LOC111128996, cysteine-rich motor neuron 1 protein-like
215,Day1,black,BP,growth,GO:0040007,LOC111100539, fibroblast growth factor 18-like
217,Day1,black,BP,growth,GO:0040007,LOC111118073, growth/differentiation factor 8-like
219,Day1,black,BP,growth,GO:0040007,LOC111138076, insulin-like growth factor-binding protein-related protein 1
220,Day1,black,BP,growth,GO:0040007,LOC111104470, saxiphilin-like
221,Day1,black,BP,growth,GO:0040007,LOC111122164, serine/threonine-protein kinase STK11-like
222,Day1,black,BP,growth,GO:0040007,LOC111126204, uncharacterized
225,Day1,black,BP,growth,GO:0040007,LOC111126735, vascular endothelial growth factor C-like
227,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111136529, acidic phospholipase A2-like
229,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111103312, basic phospholipase A2 3-like
231,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111133641, emopamil-binding protein-like
232,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111136253, fatty acid hydroxylase domain-containing protein 2-like
233,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111128195, galactoside 2-alpha-L-fucosyltransferase 2-like
237,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111134947, gastric triacylglycerol lipase-like
238,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111123216, gastric triacylglycerol lipase-like
240,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111121964, group XIIA secretory phospholipase A2-like
241,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111118201," hydroxyacyl-coenzyme A dehydrogenase, mitochondrial-like"
242,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111134941, inactive pancreatic lipase-related protein 1-like
243,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111134948, lysosomal acid lipase/cholesteryl ester hydrolase-like
244,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111133439, metallophosphoesterase 1-like
245,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111132953, pancreatic lipase-related protein 2-like
246,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111122015, pancreatic triacylglycerol lipase-like
247,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111113173, phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like
262,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111118285, phosphatidylinositol-glycan-specific phospholipase D-like
263,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111111363," phospholipase B1, membrane-associated-like"
264,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111132893, sphingomyelin phosphodiesterase-like
265,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111123501, uncharacterized
266,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111136645, uncharacterized
268,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111105348, uncharacterized
269,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111127388, uncharacterized
272,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111105355, uncharacterized
273,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111104768, uncharacterized
274,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111099500, uncharacterized
276,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111125742, uncharacterized
277,Day1,black,BP,lipid metabolic process,GO:0006629,LOC111126484, uncharacterized
279,Day1,black,BP,response to stress,GO:0006950,LOC111132242, DNA repair protein XRCC4-like
281,Day1,black,BP,response to stress,GO:0006950,LOC111113135, DNA repair protein complementing XP-A cells homolog
282,Day1,black,BP,response to stress,GO:0006950,LOC111114574, DNA repair protein complementing XP-A cells homolog
283,Day1,black,BP,response to stress,GO:0006950,LOC111109822, DNA repair protein complementing XP-C cells homolog
284,Day1,black,BP,response to stress,GO:0006950,LOC111135801, DNA repair protein complementing XP-G cells homolog
286,Day1,black,BP,response to stress,GO:0006950,LOC111108438, DNA-(apurinic or apyrimidinic site) lyase 2-like
287,Day1,black,BP,response to stress,GO:0006950,LOC111120090, DNA-(apurinic or apyrimidinic site) lyase-like
291,Day1,black,BP,response to stress,GO:0006950,LOC111119854, E3 ubiquitin-protein ligase RBBP6-like
297,Day1,black,BP,response to stress,GO:0006950,LOC111129239, aprataxin and PNK-like factor
300,Day1,black,BP,response to stress,GO:0006950,LOC111136704, aprataxin-like
302,Day1,black,BP,response to stress,GO:0006950,LOC111134249, catalase-like
303,Day1,black,BP,response to stress,GO:0006950,LOC111134248, catalase-like
304,Day1,black,BP,response to stress,GO:0006950,LOC111136545, cell cycle checkpoint control protein RAD9A-like
305,Day1,black,BP,response to stress,GO:0006950,LOC111128622, endonuclease 8-like 1
306,Day1,black,BP,response to stress,GO:0006950,LOC111127898, endonuclease 8-like 1
307,Day1,black,BP,response to stress,GO:0006950,LOC111137147, glutathione peroxidase-like
308,Day1,black,BP,response to stress,GO:0006950,LOC111120554, glutathione peroxidase-like
309,Day1,black,BP,response to stress,GO:0006950,LOC111121007, methylated-DNA--protein-cysteine methyltransferase-like
311,Day1,black,BP,response to stress,GO:0006950,LOC111099737, peptide methionine sulfoxide reductase MsrB-like
317,Day1,black,BP,response to stress,GO:0006950,LOC111101087, peptidoglycan-recognition protein SC2-like
318,Day1,black,BP,response to stress,GO:0006950,LOC111101290, peptidoglycan-recognition protein SC2-like
319,Day1,black,BP,response to stress,GO:0006950,LOC111132870, pre-mRNA-processing factor 19-like
320,Day1,black,BP,response to stress,GO:0006950,LOC111134536, protein CREBRF homolog
323,Day1,black,BP,response to stress,GO:0006950,LOC111103315, sestrin-1-like
327,Day1,black,BP,response to stress,GO:0006950,LOC111134691, sterile alpha and TIR motif-containing protein 1-like
328,Day1,black,BP,response to stress,GO:0006950,LOC111120011, uncharacterized
330,Day1,black,BP,response to stress,GO:0006950,LOC111109147, uncharacterized
332,Day1,black,BP,response to stress,GO:0006950,LOC111105220, uncharacterized
333,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111099983," 28S ribosomal protein S35, mitochondrial-like"
334,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111118248, 40S ribosomal protein S12-like
335,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111107317, 40S ribosomal protein S23
336,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111115985, 40S ribosomal protein S27-like
337,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111126078, 40S ribosomal protein S3
338,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111126482, 40S ribosomal protein S3
339,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111130218, 40S ribosomal protein S6-like
340,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111118983, 40S ribosomal protein S7-like
341,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111119970, 60S ribosomal protein L10-like
342,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111103170, 60S ribosomal protein L13a-like
343,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111128745, 60S ribosomal protein L17-like
344,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111128694, 60S ribosomal protein L17-like
345,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111106383, 60S ribosomal protein L18a-like
346,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111114610, 60S ribosomal protein L37a
347,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111105616, 60S ribosomal protein L44-like
349,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111131690, ESF1 homolog
352,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111137679, pescadillo-like
353,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111120619, probable 60S ribosomal protein L37-A
354,Day1,black,BP,ribosome biogenesis,GO:0042254,LOC111125126, uncharacterized
355,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111103886, ATP-citrate synthase-like
356,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111135825, D-glucuronyl C5-epimerase-like
364,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111135193, adenosylhomocysteinase A-like
365,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111118652," cysteine--tRNA ligase, cytoplasmic-like"
369,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111103987, glutathione S-transferase P 1-like
370,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111105347, glutathione S-transferase P 1-like
372,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111137147, glutathione peroxidase-like
373,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111120554, glutathione peroxidase-like
374,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111129018, glutathione-specific gamma-glutamylcyclotransferase 1-like
375,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111131445, glutathionyl-hydroquinone reductase YqjG-like
376,Day1,black,BP,sulfur compound metabolic process,GO:0006790,LOC111117922, protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like
377,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111135999, alanyl-tRNA editing protein Aarsd1-like
378,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111118652," cysteine--tRNA ligase, cytoplasmic-like"
382,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111102393, elongator complex protein 4-like
385,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111121289, elongator complex protein 6-like
386,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111108698, mitochondrial tRNA-specific 2-thiouridylase 1-like
387,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111124379," probable asparagine--tRNA ligase, mitochondrial"
388,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111129366, putative elongator complex protein 1
390,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111131492, ribonuclease P/MRP protein subunit POP5-like
391,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111130709," serine--tRNA ligase, mitochondrial-like"
393,Day1,black,BP,tRNA metabolic process,GO:0006399,LOC111122052, threonylcarbamoyladenosine tRNA methylthiotransferase-like
395,Day1,black,BP,translation,GO:0006412,LOC111099983," 28S ribosomal protein S35, mitochondrial-like"
396,Day1,black,BP,translation,GO:0006412,LOC111118248, 40S ribosomal protein S12-like
397,Day1,black,BP,translation,GO:0006412,LOC111107317, 40S ribosomal protein S23
398,Day1,black,BP,translation,GO:0006412,LOC111115985, 40S ribosomal protein S27-like
399,Day1,black,BP,translation,GO:0006412,LOC111126482, 40S ribosomal protein S3
400,Day1,black,BP,translation,GO:0006412,LOC111126078, 40S ribosomal protein S3
401,Day1,black,BP,translation,GO:0006412,LOC111130218, 40S ribosomal protein S6-like
402,Day1,black,BP,translation,GO:0006412,LOC111118983, 40S ribosomal protein S7-like
403,Day1,black,BP,translation,GO:0006412,LOC111119970, 60S ribosomal protein L10-like
404,Day1,black,BP,translation,GO:0006412,LOC111103170, 60S ribosomal protein L13a-like
405,Day1,black,BP,translation,GO:0006412,LOC111128745, 60S ribosomal protein L17-like
406,Day1,black,BP,translation,GO:0006412,LOC111128694, 60S ribosomal protein L17-like
407,Day1,black,BP,translation,GO:0006412,LOC111106383, 60S ribosomal protein L18a-like
408,Day1,black,BP,translation,GO:0006412,LOC111114610, 60S ribosomal protein L37a
409,Day1,black,BP,translation,GO:0006412,LOC111105616, 60S ribosomal protein L44-like
411,Day1,black,BP,translation,GO:0006412,LOC111135999, alanyl-tRNA editing protein Aarsd1-like
412,Day1,black,BP,translation,GO:0006412,LOC111118652," cysteine--tRNA ligase, cytoplasmic-like"
416,Day1,black,BP,translation,GO:0006412,LOC111120619, probable 60S ribosomal protein L37-A
417,Day1,black,BP,translation,GO:0006412,LOC111124379," probable asparagine--tRNA ligase, mitochondrial"
418,Day1,black,BP,translation,GO:0006412,LOC111130709," serine--tRNA ligase, mitochondrial-like"
420,Day1,black,BP,translation,GO:0006412,LOC111125126, uncharacterized
421,Day1,black,BP,transport,GO:0006810,LOC111105529, IST1 homolog
422,Day1,black,BP,transport,GO:0006810,LOC111117672, Niemann-Pick C1 protein-like
423,Day1,black,BP,transport,GO:0006810,LOC111123730, SNARE-associated protein Snapin-like
424,Day1,black,BP,transport,GO:0006810,LOC111136529, acidic phospholipase A2-like
426,Day1,black,BP,transport,GO:0006810,LOC111103312, basic phospholipase A2 3-like
428,Day1,black,BP,transport,GO:0006810,LOC111121964, group XIIA secretory phospholipase A2-like
429,Day1,black,BP,transport,GO:0006810,LOC111138040, soma ferritin-like
430,Day1,black,BP,transport,GO:0006810,LOC111133489, sorting nexin-20-like
431,Day1,black,BP,transport,GO:0006810,LOC111105355, uncharacterized
432,Day1,black,BP,transport,GO:0006810,LOC111136645, uncharacterized
434,Day1,black,BP,transport,GO:0006810,LOC111104768, uncharacterized
436,Day1,black,BP,transport,GO:0006810,LOC111105348, uncharacterized
437,Day1,black,BP,transport,GO:0006810,LOC111129625, uncharacterized
438,Day1,black,BP,transport,GO:0006810,LOC111133323, yolk ferritin-like
439,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111115014, U-actitoxin-Avd3h-like
440,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111130909, antistasin-like
441,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111123210," arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like"
442,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111135176," arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2-like"
445,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111130958, basic salivary proline-rich protein 1-like
446,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111131257, cysteine proteinase inhibitor 8-like
447,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111128996, cysteine-rich motor neuron 1 protein-like
448,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111124539, kunitz-type U19-barytoxin-Tl1a-like
449,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111115714, kunitz-type serine protease inhibitor BmKTT-2-like
450,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111106164, metalloproteinase inhibitor 1-like
451,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111110159, metalloproteinase inhibitor 3-like
452,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111117026, mucin-19-like
453,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111112478, mucin-5AC-like
457,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111122629, rab GTPase-activating protein 1-like
461,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111117151, ralA-binding protein 1-like
462,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111121418, regucalcin-like
463,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111121420, regucalcin-like
468,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111122164, serine/threonine-protein kinase STK11-like
469,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111126484, uncharacterized
470,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111136541, uncharacterized
471,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111129849, uncharacterized
473,Day1,black,MF,enzyme regulator activity,GO:0030234,LOC111104309, uncharacterized
474,Day1,black,MF,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",GO:0016810,LOC111111192, NAD-dependent protein deacylase-like
